# clip | Devanagari transcript  (⟨word⟩ = Whisper low-confidence, please verify)
# Source: Whisper large-v3 hi-pass (acoustic). Perso-Arabic reference in transcripts_review.tsv.
clip_16.wav | आज सुबह मैं थोड़ा देर से उठा इसलिए जल्दी जल्दी त्यार होकर दफ्तर के लिए निकलना पड़ा।
clip_17.wav | तुम आज दफ़तर जा रहे हो या घर से काम करने का इरादा है।
clip_18.wav | अगर हम शाम को निकलें तो तुम्हें कौन सी जगा जाना ज्यादा पसंद आएगा?
clip_19.wav | पिछले हफ़ते मैं अपने एक दोस्ते मिलने गया था और हमने काफी देर तक मुख्तलिफ मौज़वात पर बात की।
clip_20.wav | अगले हफ़ते अगर वग मिला तो मैं अपने कुछ जुरूरी काम मुकमल करने के बाद घरवोलों के साथ बाहर जाओंगा।
clip_21.wav | मुझे तीन फाइलें चेक करनी ⟨हैं,⟩ दो ईमेल्स का जवाब देना है और शाम तक एक रिपोर्ट भी मुकमल करनी हैं
clip_22.wav | मेरी मीटिंग तकरीबन साड़े दस बजे शुरू होगी और शायद बारा बजे तक खतम हो जाए।
clip_23.wav | मैं पिछले कुछ दिनों से एक नए सौफ्टफेर परजेक्ट पर काम कर रहा हूँ और इसमें काफी दिल्चस्प मसाइल आ रहे हैं
clip_24.wav | कभी कभी प्रोग्राम में एक छोटी सी तबदीली पूरे सिस्टम के रवये को तबदील कर देती है इसलिए हर तबदीली को अच्छी तरह टेस्क करना ज़
clip_25.wav | आज मेरा दिल कुछ अच्छा सा खाने को कर रहा है लेकिन अभी फैसला नहीं किया के घर पर बनाओं या बाहर से मंगवा लूँ
clip_26.wav | मेरे ख्याल में किसी भी काम को जल्दी मुकमल करने से व्यादा ज़रूरी है कि इसमें सही तरीके से मुकमल किया जाए
clip_27.wav | कभी कभी बहुत कोशिश करने के बावजूर नतीजा हमारी तवक्का के मताबिक नहीं आता लेकिन इसका मतलब ये नहीं है कि हमें कोशिश छोड़ देनी च
clip_28.wav | अच्छा ये बताओ तुमने आखिर में क्या फैसला किया मैं तो समझ रहा था कि तुम कल ही ये काम मुकमल कर लोगे
clip_29.wav | पहले कम्प्यूटर को दुबारा शुरू करो फिर प्रोग्राम खोलो और देखो के मसला अभी भी मुझूद है या नहीं
clip_30.wav | एक दफ़ा मैंने अपने दोस्तों के साथ सफर पर गया हम सुबह बहुत जल्दी निकले लेकिन रास्ते में ट्रैफिक की वज़ा से काफी देर हो गई
clip_31.wav | मुझे फुरसत के वक्त किताब पढ़ना, मुसीकी सुनना और कभी कबार दोस्तों के साथ बैट कर गब शब करना अच्छा लगता है।
clip_32.wav | यार आज इतना काम था कि मुझे खाना खाने का भी ठीक से वग देही मिला अब घर जाकर सकून से खाना खाऊंगा
clip_33.wav | अगर तुम अभी तक वो काम शुरू नहीं किया तो परशान होने की जुरूत नहीं पहले जुरूरी चीज़ें मुकमल करो और बाकी काम बाद में कर लेना
clip_34.wav | तुम्हें क्या लगता है यह मसला वाकई इतना मुश्किल है या हम इसे जरूरत से ज़्यादा अचीदा समझ रहे हैं
clip_35.wav | बेहराल आज के लिए इतना काफी है बाकी काम कल करेंगे और उमीद है कि तब तक सब कुछ बेतर हो जाएगा
clip_36.wav | यार आज इतना काम था कि मुझे खाना खाने का भी ठीक से टाइम नहीं मिला।
